"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"88","003921",4,12,86,2870,98203,80328,5.7,2.4,35.3,0.3,58.9,5.5,16.6,31.6,31,20.8,78.8,21.2,"N.Tourist"
"89","003922",4,12,86,2853,51291,52425,7.8,8.1,49.4,1.1,45.4,4.1,12.7,27.1,27.4,32.8,79.7,20.3,"Tourist"
"90","004000",4,12,86,5505,68109,46395,10.6,5.1,68.1,2.2,24.1,5.6,16.4,26.5,29.8,27.3,84.3,15.7,"Tourist"
"91","004103",2,12,86,2310,30158,35499,19.6,1.8,33,2.3,63.8,0.9,20.8,25,14.5,39.7,82.1,17.9,"Tourist"
"92","004106",4,12,86,4049,95321,62423,11.5,6.8,61.5,2,35.3,1.2,10.9,30,28.4,30.7,86.4,13.6,"Tourist"
"93","004204",4,12,86,2008,36559,37249,9.3,6.3,37.9,1.4,49,11.7,23.2,29.7,10.3,36.8,60.9,39.1,"Tourist"
"94","004205",4,12,86,2534,43339,46199,16.7,6.2,44,4.9,43.6,7.5,14.3,26,21.6,38.1,62.7,37.3,"Tourist"
"95","004404",4,12,86,1872,23309,27951,24.1,1.2,37.8,0.4,59.3,2.5,16,23.4,13.5,47.1,70.4,29.6,"Tourist"
"96","004405",4,12,86,3524,31784,23028,28.2,6.2,25.5,3.9,65.6,5,26.4,21,16.2,36.4,63.8,36.2,"N.Tourist"
"97","004406",4,12,86,2671,64468,45772,10.7,5.1,42.1,3,44.5,10.4,19.3,25.6,19.7,35.4,76.4,23.6,"Tourist"
"98","004605",4,12,86,3699,91615,50511,9.4,6.3,30.9,0,69.1,0,6.9,38,33.3,21.8,66.4,33.6,"N.Tourist"
"99","004607",4,12,86,3178,112917,112962,6.4,7.3,30.9,0,64.6,4.5,8.3,32.1,38.6,21,80.6,19.4,"Tourist"
"100","004608",4,12,86,1789,99167,63516,5,3.9,32.5,0,65.5,2,7.8,43.6,24.7,23.9,76.7,23.3,"Tourist"
"101","004703",2,12,86,5323,45814,23324,17.1,7.9,12.7,1.2,84.2,1.9,33.7,19.2,9.3,37.8,69.6,30.4,"N.Tourist"
"102","004901",3,12,86,3740,26404,13390,28.8,5.9,2.2,5.1,91.5,1.2,42,13.3,4.7,40,57.7,42.3,"N.Tourist"
"103","005001",3,12,86,7762,32064,14645,22.6,4.6,3.6,0.5,95.8,0.1,40,7.1,1.6,51.3,61.6,38.4,"N.Tourist"
"104","005102",3,12,86,4456,12341,17235,36.7,8,8.2,6.4,84.5,0.9,34.6,14.4,3.7,47.3,70.2,29.8,"N.Tourist"
"105","005103",3,12,86,2910,26618,16503,26.2,6,0.2,0.2,99.2,0.4,40.7,6.7,2.2,50.4,53.5,46.5,"N.Tourist"
"106","005104",3,12,86,4455,25188,14165,37.2,5.4,4.9,0.7,93.8,0.6,38.9,9,5.7,46.4,61.3,38.7,"N.Tourist"
"107","005201",3,12,86,5999,20442,11930,28.8,8.6,4.6,3.6,91.8,0,34.6,6.1,1.6,57.7,54.5,45.5,"N.Tourist"
"108","005202",3,12,86,6043,24876,12902,27.1,12,2.7,2.9,93.9,0.5,37.2,4.1,0.7,58,49.7,50.3,"N.Tourist"
"109","005405",3,12,86,3734,25448,15116,25.8,5.4,5.3,0.1,94.2,0.4,41,10.2,2.9,45.9,55.1,44.9,"Tourist"
"110","005407",3,12,86,2594,24803,16059,22.5,11.6,4,0.2,95.8,0,30.8,14.2,6.2,48.8,62,38,"N.Tourist"
"111","005501",3,12,86,6706,28500,17055,16.5,6.1,3.3,0.2,89.7,6.8,31.4,13.3,2,53.3,73.9,26.1,"Tourist"
"112","005701",3,12,86,6238,31136,19157,28.7,13.4,1.5,0.5,98,0,34.2,13.8,3,49,68.4,31.6,"N.Tourist"
"113","005901",2,12,86,4552,45803,24870,12,3.5,7.5,0,91.5,1,31.3,17.2,9.5,42,70.9,29.1,"N.Tourist"
"114","006001",1,12,86,6043,68866,31982,9.5,2.4,13.8,1.4,82.7,2.1,26.3,16,12.2,45.5,85,15,"N.Tourist"
"115","006002",1,12,86,5479,55477,24979,11.4,7,14.2,2.1,82.1,1.6,28.8,17.5,10.2,43.5,83,17,"N.Tourist"
"116","006102",2,12,86,5840,99261,66193,4.7,2,39,0,59.8,1.2,11.7,28.8,37.7,21.8,92.7,7.3,"N.Tourist"
"117","006201",1,12,86,3236,44528,23118,18.6,1.8,10.3,0.8,87.3,1.6,23.3,20.2,13.9,42.6,62.5,37.5,"N.Tourist"
"118","006205",2,12,86,4134,39000,31237,19,4.4,16.6,0,79.2,4.2,21.1,23.1,19.7,36.1,73.6,26.4,"N.Tourist"
"119","006301",3,12,86,7258,26732,17575,25.4,6.6,7.8,0,92.2,0,38.7,19.7,4,37.6,58.6,41.4,"N.Tourist"
"120","006302",3,12,86,4680,44477,24886,14.4,11.3,7.7,1.4,89.8,1.1,24.3,20.5,14.6,40.6,75.9,24.1,"N.Tourist"
"121","006501",3,12,86,3926,39250,18258,24.5,2.2,8,0,92,0,42.1,13.5,7.4,37,65.7,34.3,"N.Tourist"
"122","006503",3,12,86,2489,33333,24036,15.5,11.7,7.4,1.8,88.6,2.2,29,16,8.9,46.1,73.8,26.2,"N.Tourist"
